,pos,url,crawl_day
0,0,https://www.eldebate.com/internacional/20221002/bolsonaro-vota-rio-janeiro_63597.html,2022-10-03
1,1,https://www.eldebate.com/espana/20221003/tres-ministros-sanchez-viven-pisos-gratis-no-saben-gastan-luz-calefaccion_63342.html#disqus_thread_box,2022-10-03
2,2,https://www.eldebate.com/opinion/20221003/gallina-soberbia_63551.html,2022-10-03
3,3,https://www.eldebate.com/internacional/20221003/las-historicas-imagenes-de-las-elecciones-brasilenas-de-2022_63637.html,2022-10-03
4,4,https://www.eldebate.com/internacional/20221003/cuales-son-apoyos-bolsonaro_63639.html#disqus_thread_box,2022-10-03
5,5,https://www.eldebate.com/internacional/20221003/lula-vamos-ganar-elecciones-esto-solo-prorroga_63640.html#disqus_thread_box,2022-10-03
6,6,https://www.eldebate.com/espana/20221003/margallo_63628.html#disqus_thread_box,2022-10-03
7,7,https://www.eldebate.com/economia/20221003/credit-suisse-encuentra-situacion-critica-segun-ceo_63681.html#disqus_thread_box,2022-10-03
8,8,https://www.eldebate.com/economia/20221003/pagamos-demasiados-impuestos-esto-piensan-espanoles_63257.html#disqus_thread_box,2022-10-03
9,9,https://www.eldebate.com/espana/madrid/20221003/estos-son-proyectos-mas-innovadores-transporte-publico-madrid_63279.html#disqus_thread_box,2022-10-03
10,10,https://www.eldebate.com/espana/cataluna/20221003/aragones-abre-puerta-particion-territorial-cataluna_63052.html#disqus_thread_box,2022-10-03
11,11,https://www.eldebate.com/espana/20221003/cinco-anos-discurso-rey-cambio-todo_63660.html#disqus_thread_box,2022-10-03
12,12,https://www.eldebate.com/espana/20221003/ana-maria-cameno-reina-coca-imperio-blanco-dieciseis-anos-carcel_62829.html#disqus_thread_box,2022-10-03
13,13,https://www.eldebate.com/internacional/20221003/ee-uu-destruiria-fuerzas-rusas-ucrania-kremlin-lanza-ataque-nuclear_63682.html#disqus_thread_box,2022-10-03
14,14,https://www.eldebate.com/internacional/20221003/kremlin-resigna-guerra-larga-resultado-incierto_63169.html#disqus_thread_box,2022-10-03
15,15,https://www.eldebate.com/internacional/20221003/alerta-otan-maniobra-submarino-ruso-belgorod-capaz-provocar-tsunami-nuclear_63661.html#disqus_thread_box,2022-10-03
16,16,https://www.eldebate.com/sociedad/20221003/autoridades-descartan-detras-pinchazos-haya-intentos-sumision-quimica_63357.html#disqus_thread_box,2022-10-03
17,17,https://www.eldebate.com/opinion/20221003/perdonalos-maria-leon_63589.html,2022-10-03
18,18,https://www.eldebate.com/opinion/20221003/serie-pedrito_63575.html,2022-10-03
19,19,https://www.eldebate.com/opinion/20221003/unicos-imbeciles_63615.html,2022-10-03
20,20,https://www.eldebate.com/opinion/20221003/clase-media-le-den_63599.html,2022-10-03
21,21,https://www.eldebate.com/opinion/20221003/cuando-espana-no-quiere-vacuna_63630.html#disqus_thread_box,2022-10-03
22,22,https://www.eldebate.com/opinion/en-primera-linea/20221003/lastima_63119.html#disqus_thread_box,2022-10-03
23,23,https://www.eldebate.com/opinion/tribuna/20221003/importancia-educacion-financiera-mundo-digital_63315.html#disqus_thread_box,2022-10-03
24,24,https://www.eldebate.com/opinion/tribuna/20221003/importancia-educacion-financiera-mundo-digital_63315.html#disqus_thread_box,2022-10-03
25,25,https://www.eldebate.com/opinion/tribuna/20221003/importancia-educacion-financiera-mundo-digital_63315.html#disqus_thread_box,2022-10-03
26,26,https://www.eldebate.com/opinion/tribuna/20221003/importancia-educacion-financiera-mundo-digital_63315.html#disqus_thread_box,2022-10-03
27,27,https://www.eldebate.com/salud-y-bienestar/bienestar/20221003/cual-diferencia-entre-serum-crema-hidratante_62856.html#disqus_thread_box,2022-10-03
28,28,https://www.eldebate.com/salud-y-bienestar/salud/20221003/acupuntura-no-alternativa-herramienta-mas-dentro-medicina_63166.html#disqus_thread_box,2022-10-03
29,29,https://www.eldebate.com/salud-y-bienestar/salud/20221003/que-comer-recuperarte-gastroenteritis_61725.html#disqus_thread_box,2022-10-03
30,30,https://www.eldebate.com/salud-y-bienestar/bienestar/alimentacion/20221003/4-ciento-espanoles-son-vegetarianos-0-8-veganos_61340.html#disqus_thread_box,2022-10-03
31,31,https://www.eldebate.com/espana/comunidad-valenciana/20221003/asi-casal-espana-arena-espacio-multiusos-impulsado-juan-roig-revolucionara-valencia_63537.html#disqus_thread_box,2022-10-03
32,32,https://www.eldebate.com/deportes/futbol/20221003/hace-falta-superliga-datos-ruinosos-futbol-actual_63623.html#disqus_thread_box,2022-10-03
33,33,https://www.eldebate.com/sociedad/20221003/claves-ley-bienestar-animal-enfrentado-gobierno-mundo-rural_62903.html#disqus_thread_box,2022-10-03
34,34,https://www.eldebate.com/economia/20221003/gobierno-britanico-renuncia-bajar-tramo-impositivo-mas-alto_63658.html#disqus_thread_box,2022-10-03
35,35,https://www.eldebate.com/deportes/formula-1/20221003/esto-inaceptable-fernando-alonso-no-aguanta-mas-alpine_63625.html#disqus_thread_box,2022-10-03
36,36,https://www.eldebate.com/motor/20221003/estas-son-cinco-primeras-carreteras-espanolas-pagaremos-circular_63207.html#disqus_thread_box,2022-10-03
37,37,https://www.eldebate.com/espana/madrid/20221003/muerto-tres-heridos-tiroteo-fuenlabrada-madrid_63659.html#disqus_thread_box,2022-10-03
38,38,https://www.eldebate.com/espana/comunidad-valenciana/20221003/fernando-rosa-pp-mecanismos-defender-constitucion-estan-peligro-sanchez-aliados_62375.html#disqus_thread_box,2022-10-03
39,39,https://www.eldebate.com/motor/20221003/estas-son-principales-motivos-suspendemos-itv_62740.html#disqus_thread_box,2022-10-03
40,40,https://www.eldebate.com/cine-tv-series/20221003/que-posibilidades-tiene-ana-armas-estar-nominada-oscar-blonde_63426.html,2022-10-03
41,41,https://www.eldebate.com/familia/20221003/que-hacer-ante-embarazo-imprevisto_63419.html#disqus_thread_box,2022-10-03
42,42,https://www.eldebate.com/cultura/20221003/cuarenta-anos-juli-matador-mas-joven-historia-toreo_63183.html#disqus_thread_box,2022-10-03
43,43,https://www.eldebate.com/gente/20221003/sorprendente-revelacion-principe-gales-sobre-desayuno_63378.html#disqus_thread_box,2022-10-03
44,44,https://www.eldebate.com/gente/20221003/modelo-tiktoker-y-estrella-de-la-television-asi-es-leah-de-noruega-el-verso-libre-de-la-realeza-europea_63401.html#disqus_thread_box,2022-10-03
45,45,https://www.eldebate.com/economia/consumo/20221003/mapa-precio-menu-dia-principales-ciudades-espanolas-cns_62864.html#disqus_thread_box,2022-10-03
46,46,https://www.eldebate.com/gente/20221003/de-sus-acusaciones-de-plagio-a-sus-deudas-con-hacienda-todos-los-problemas-de-shakira-con-la-justicia_62678.html#disqus_thread_box,2022-10-03
47,47,https://www.eldebate.com/cultura/musica/20221003/muere-rockero-argentino-bin-valencia-mientras-actuaba-junto-mujer-hijos_63675.html#disqus_thread_box,2022-10-03
48,48,https://www.eldebate.com/historia/20221003/arthur-priest-fogonero-insumergible_63407.html#disqus_thread_box,2022-10-03
49,49,https://www.eldebate.com/cine-tv-series/20221003/muere-sacheen-little-feather-actriz-rechazo-oscar-marlon-brando-padrino_63680.html#disqus_thread_box,2022-10-03
50,50,https://www.eldebate.com/cine-tv-series/20220930/mejores-series-peliculas-estreno-netflix-movistar-hbo-max-amazon-prime-disney-octubre_63444.html#disqus_thread_box,2022-10-03
51,51,https://www.eldebate.com/historia/20221003/exilio-espanol-tunez_62788.html#disqus_thread_box,2022-10-03
52,52,https://www.eldebate.com/tecnologia/20221003/amazon-planta-cara-apple-no-original-cuaderno_63227.html#disqus_thread_box,2022-10-03
53,53,https://www.eldebate.com/espana/defensa/20221002/curiosa-compania-armada-mar-abierto-nunca-estamos-solos_62833.html#disqus_thread_box,2022-10-03
54,54,https://www.eldebate.com/espana/20221003/ponganse-trabajar-gritos-pp-vox-desarman-psoe_62806.html#disqus_thread_box,2022-10-03
55,55,https://www.eldebate.com/gente/20221002/tamara-falco-no-siento-odio-hacia-el-me-da-pena_63572.html#disqus_thread_box,2022-10-03
56,56,https://www.eldebate.com/espana/20221003/feijoo-prepara-otono-internacional-reforzar-lazos-fuera-fronteras_63160.html#disqus_thread_box,2022-10-03
57,57,https://www.eldebate.com/deportes/futbol/la-liga/20221002/madrid-no-gana-bernabeu-osasuna-fallar-benzema-penalti_63636.html#disqus_thread_box,2022-10-03
58,58,https://www.eldebate.com/internacional/20221003/pekin-expande-bases-submarinos-mar-china-meridional_63144.html#disqus_thread_box,2022-10-03
59,59,https://www.eldebate.com/espana/andalucia/20221003/granada-emergente-puerta-entrada-droga-europa_63497.html#disqus_thread_box,2022-10-03
60,60,https://www.eldebate.com/internacional/20221003/sucesion-poder-iran_63433.html#disqus_thread_box,2022-10-03
61,61,https://www.eldebate.com/religion/iglesia/20220929/comision-permanente-conferencia-episcopal-espanola_63064.html,2022-10-03
62,62,https://www.eldebate.com/religion/iglesia/20221003/que-significa-realmente-cuarto-mandamiento-honraras-padre-madre_62571.html#disqus_thread_box,2022-10-03
63,63,https://www.eldebate.com/religion/20221003/heridos-belleza_63422.html,2022-10-03
64,64,https://www.eldebate.com/religion/20221003/evangelio-dia-amaras-dios-projimo-como-ti-mismo_62617.html#disqus_thread_box,2022-10-03
65,65,https://www.eldebate.com/sociedad/20221002/darias-honra-ley-eutanasia-aprobo-ministerio-realizado-180-ejecuciones_63427.html#disqus_thread_box,2022-10-03
66,66,https://www.eldebate.com/espana/defensa/20221002/arriesgada-maniobra-vuelo-f-18-super-hornet-ee-uu-harrier-espanol_63527.html#disqus_thread_box,2022-10-03
67,67,https://www.eldebate.com/economia/vivienda/20221002/mercado-inmobiliario-2023-buen-momento-comprar-vivienda_63335.html#disqus_thread_box,2022-10-03
68,68,https://www.eldebate.com/espana/20221002/arias-salgado-cambio-institucional-intenta-sanchez-profundamente-antidemocratico_63458.html#disqus_thread_box,2022-10-03
69,69,https://www.eldebate.com/obituarios/20221001/excepcional-artista-negociacion_63544.html,2022-10-03
70,70,https://www.eldebate.com/obituarios/20221001/hilaree-nelson_63369.html,2022-10-03
71,71,https://www.eldebate.com/obituarios/20220930/michel-pinc-on_63161.html,2022-10-03
72,72,https://www.eldebate.com/obituarios/20220929/espanola-raza_62845.html,2022-10-03
73,73,https://www.eldebate.com/opinion/cartas-director/20221003/abandono-desamparo-genesis-aborto_63352.html#disqus_thread_box,2022-10-03
74,74,https://www.eldebate.com/opinion/cartas-director/20221003/sandeces-senor-bono_63351.html#disqus_thread_box,2022-10-03
75,75,https://www.eldebate.com/opinion/cartas-director/20221003/donde-estan-libertades_63374.html#disqus_thread_box,2022-10-03
76,3,https://www.eldebate.com/autor/carmen-de-carlos,2022-10-03
77,10,https://www.eldebate.com/espana/cataluna/20221003/junts-vuelve-dar-otro-paso-atras-intentar-seguir-govern-no-pide-restitucion-puignero_63695.html#disqus_thread_box,2022-10-03
78,38,https://www.eldebate.com/espana/20221003/dimision-ospina-candidato-presidir-icam-eleva-tres-vacantes-directiva-actual_63671.html#disqus_thread_box,2022-10-03
79,39,https://www.eldebate.com/economia/20221003/rey-ensalza-empresa-familiar-congreso-caceres_63707.html#disqus_thread_box,2022-10-03
80,42,https://www.eldebate.com/sociedad/20221003/quien-ganado-premio-nobel-medicina-2022-cns_63686.html#disqus_thread_box,2022-10-03
81,44,https://www.eldebate.com/gente/20221003/eduardo-verastegui-nuevo-amigo-tamara-falco_63670.html#disqus_thread_box,2022-10-03
82,45,https://www.eldebate.com/cultura/20221003/ana-armas-marilyn-monroe-verdadero-concepto-apropiacion-cultural_63158.html#disqus_thread_box,2022-10-03
83,46,https://www.eldebate.com/gente/20221003/sospechoso-anillo-paloma-cuevas-aviva-rumores-boda-luis-miguel_63709.html#disqus_thread_box,2022-10-03
84,47,https://www.eldebate.com/cultura/20221003/muere-91-anos-escritora-rosetta-loy_63691.html#disqus_thread_box,2022-10-03
85,53,https://www.eldebate.com/deportes/20221003/futbolista-fc-barcelona-burla-idioma-espanol_63677.html#disqus_thread_box,2022-10-03
86,54,https://www.eldebate.com/espana/20221003/error-calculo-pilar-alegria-critica-feijoo_63711.html#disqus_thread_box,2022-10-03
87,57,https://www.eldebate.com/economia/20221003/iberdrola-amplia-220-millones-prestamo-verde-impulsar-redes-inteligentes-espana_63685.html#disqus_thread_box,2022-10-03
88,58,https://www.eldebate.com/espana/20221003/supremo-considera-claro-suficiente-comprensible-cese-marlaska-coronel-sanchez-corbi_63689.html#disqus_thread_box,2022-10-03
